"","C01","C02","C03","C04","C06","C07","C08","C09","C10","C11","C12","C13","C14","C15","P01","P13","P25"
"TZ413AQ_6u7cg77xfxf8_2021-10-20T15-50_water",0.0451329546354783,5.38503561342394,4.5843968736361,2.06691725381693,2.89558606443508,7.83894536101124,4.6043757081151,1.06023921565056,37.6852244482229,26.4907543172095,2.4611364273389,0.720698279339362,2.19309598853312,1.96846096011766,1.20728939637379e-10,5.34393379908367e-07,2.8119352664262e-22
"TZ414AQ_6u7cg77xfxf9_2021-10-20T15-52_water",1.96173054269812e-06,0.00357091528731276,0.00349069524574008,0.000574656678430719,0.00109516415244663,0.0079887929285572,0.00320935076213512,0.000233714692358758,52.992688303997,46.984912052201,0.000829205331759261,8.52304320110163e-05,0.000636710807817535,0.000683235058775688,1.82752107920767e-12,1.06923171451278e-08,5.31140601689676e-25
"TZ417AQ_6u7dn6pqfbq2_2021-10-20T14-20_water",1.09524061416368,9.48832478329165,7.15109614694591,10.1255071756853,10.1764362563752,9.08328221963501,8.96612232440498,6.52426956574396,0.0115720987984566,0.0065949673919139,9.59682736028782,8.95360343478416,10.0792918514533,8.74183114257734,1.60313696176036e-11,5.84453213548623e-08,2.28976356573314e-21
"TZ418AQ_6u7dn6pqfbq3_2021-10-20T14-22_water",2.14005349981874,7.3474473304838,14.9513154643542,8.86459518929878,8.55046233905659,6.96434039465895,9.34257597010809,5.17905659203152,0.00658609333542099,0.00662186864291052,12.3935185573081,7.24548159138161,8.30033892220456,8.70760100336142,1.06886769785498e-08,5.17326656974371e-06,2.30935067329634e-21
"TZ419AQ_6u7dn6pqfbq4_2021-10-20T14-25_water",1.42465834487447,9.65471122117454,6.60089099154322,10.3483509459239,10.2377398042781,8.82196786597,8.27232072584244,6.88666692315164,0.00903727769734056,0.00476935632393949,9.50081120567119,9.665682303136,10.4052161828699,8.16717682950878,5.53650373055613e-12,2.20289293809454e-08,6.15161339787869e-22
"TZ421AQ_6u7d7vxhgbq0_2021-10-20T13-00_water",1.89495435981032,9.2531026458022,5.75830084163421,10.7204144970147,10.2510177151968,7.95985820774326,7.46772206393844,7.42317395353342,0.00382846955974622,0.0018698520737221,9.3927858482793,11.1408976566603,10.8097836667998,7.92229021371008,1.89377385574962e-12,8.24185290972455e-09,2.91141600018852e-22
"TZ422AQ_6u7d7vxhgbq1_2021-10-20T13-02_water",1.15465600383629,9.20516561217365,6.42913901799354,10.3968430422799,10.2695239636574,8.61018078541991,8.61954630425844,6.83400598102744,0.00667704363473487,0.00361558107386632,9.44927227980778,9.78631927086565,10.3471394105641,8.88791566792712,8.51116974573254e-12,3.54716136182165e-08,2.63797137565683e-21
"TZ423AQ_6u7d7vxhgbq2_2021-10-20T13-05_water",4.22117378361283,7.69827410247921,5.15654425949989,11.0447017667876,9.67021091756799,5.77913769278146,5.95568746527236,8.12152252742296,0.000457949748468891,0.000221455917706775,9.72520812625073,14.2671585114113,11.0044989510519,7.35520248684519,1.11406932990234e-12,3.34926786512016e-09,6.0828491194586e-23
"TZ425AQ_6u7d3js0rxfx_2021-10-20T11-55_water",1.42651088939676,9.66309052911518,6.627547476272,10.3399515007856,10.2334877884819,8.83312354334983,8.27917021686018,6.87729865558109,0.00917983489427015,0.00485378920238903,9.50915731811156,9.64083529177761,10.3967656092799,8.15902753451559,5.65951934261144e-12,2.23704903841745e-08,6.06138258298447e-22
"TZ426AQ_6u7d3js0rxfx_2021-10-20T12-00_water",1.2063076342292,9.52508865125692,6.72341383605742,10.2773173513493,10.240568297625,8.92438736804438,8.6297176447719,6.73721254273518,0.00955630606502694,0.00519755231426026,9.4931939140533,9.39844009127221,10.2770789367196,8.55251983886794,8.69406509747903e-12,3.46296512698891e-08,1.453901515979e-21
"TZ427AQ_6u7d3js0rxfx_2021-10-20T12-05_water",1.46476597435169,9.65260202817318,6.57755224048185,10.3641398700414,10.2347631254658,8.78146251873292,8.213971543255,6.9140619841751,0.00876266605535777,0.00460674446186426,9.5069313202061,9.72883556367073,10.4263628077288,8.12118159251934,5.21274949171185e-12,2.06756432193652e-08,5.49336781798169e-22
"TZ429AQ_6u7dte1g566r_2021-10-20T19-10_water",0.631538797178107,8.82194111682744,8.08732532890879,9.6993756668506,9.97869809357208,9.24037527435325,10.4162139854629,5.87099185237461,0.0138754038704243,0.00923169279532299,9.70834354233481,7.87559032923168,9.42249797250875,10.2240005176262,1.37357557415921e-10,4.25967626709219e-07,4.84793844358337e-20
"TZ430AQ_6u7dte1g566r_2021-10-20T19-13_water",1.0932114905064,9.18097724314833,6.63609133275819,10.3206513127113,10.2399574424718,8.68875125543778,8.80306316946091,6.72167575213059,0.00733677401133291,0.00407228049037499,9.5037049427814,9.54738707789847,10.2449967369681,9.00812314219771,1.17953535246873e-11,4.70154879821215e-08,3.44586278446988e-21
"TZ431AQ_6u7dte1g566r_2021-10-20T19-15_water",0.130413051404709,6.27818741858246,7.92987734708305,8.91769292346385,9.36289505586193,8.05675128316987,13.9797706315363,4.7635670479815,0.00451292247493009,0.00401315279944024,9.12300240174516,6.77464552260749,8.06230128850838,16.6123392477117,9.88303095973904e-09,3.06951861616099e-05,7.42749126084357e-16
